ID,Categoría,Tarea,Prioridad,Severidad,Esfuerzo (horas),Esfuerzo (días),Impacto,Sprint,Líneas Afectadas,Dependencias,Estado,Asignado A,Fecha Inicio,Fecha Fin,Notas
SEC-001,Seguridad,Eliminar passphrase predecible en generateDefaultPassphrase(),CRÍTICA,P0,2,0.25,MUY ALTO,1,146-155,Ninguna,Pendiente,,,,"Genera passphrase aleatoria segura o requiere env variable"
SEC-002,Seguridad,Implementar salt aleatorio único en deriveKey(),CRÍTICA,P0,4,0.5,MUY ALTO,1,"531-603, 941-1002",SEC-001,Pendiente,,,,Cada derivación debe usar salt único y almacenarlo con datos
SEC-003,Seguridad,Actualizar interfaz EncryptionResult para incluir salt,CRÍTICA,P0,1,0.13,ALTO,1,69-78,SEC-002,Pendiente,,,,Agregar campo salt: string a la interfaz
SEC-004,Seguridad,Hashear passphrase en cache keys (no almacenar plaintext),CRÍTICA,P0,3,0.38,ALTO,1,537-539,SEC-002,Pendiente,,,,Usar SHA-256 para hashear passphrase+salt antes de cachear
SEC-005,Seguridad,Aumentar iteraciones PBKDF2 a 600k (OWASP 2024),CRÍTICA,P0,2,0.25,MUY ALTO,1,"163, 177, 185",Ninguna,Pendiente,,,,"Dev: 100k, Staging: 600k, Prod: 600k"
SEC-006,Seguridad,Agregar validación que falle si no hay passphrase en producción,CRÍTICA,P0,2,0.25,ALTO,1,362-385,SEC-001,Pendiente,,,,Método requirePersistentPassphrase() que lance error en prod
SEC-007,Seguridad,Mejorar validación de passphrase (min 12 chars + complejidad),ALTA,P1,2,0.25,MEDIO,2,422-430,Ninguna,Pendiente,,,,"Min 12 chars, 3 de 4: mayús/minús/num/especial"
SEC-008,Seguridad,Implementar rotación de claves con reencryptData(),ALTA,P1,6,0.75,MEDIO,4,Nueva funcionalidad,Ninguna,Pendiente,,,,Permite re-encriptar con nueva passphrase
SEC-009,Seguridad,Agregar versionamiento de esquemas de encriptación,ALTA,P1,3,0.38,MEDIO,4,69-78,SEC-008,Pendiente,,,,Agregar campo version: number a EncryptionResult
SEC-010,Seguridad,Implementar rotateEncryptionKeys() para batch re-encriptación,ALTA,P1,4,0.5,MEDIO,4,Nueva funcionalidad,SEC-008,Pendiente,,,,Método para rotar claves de múltiples items con progress
