Sprint,Semana,ID Tarea,Categoría,Tarea,Prioridad,Esfuerzo (h),Dev Asignado,Estado,Bloqueadores,Notas
Sprint 1,1-2,SEC-001,Seguridad,Eliminar passphrase predecible,CRÍTICA,2,,,,"Generar passphrase aleatoria o requerir env"
Sprint 1,1-2,SEC-002,Seguridad,Implementar salt aleatorio único,CRÍTICA,4,,,,Salt único por derivación + almacenar con datos
Sprint 1,1-2,SEC-003,Seguridad,Actualizar interfaz EncryptionResult,CRÍTICA,1,,,,Agregar campo salt: string
Sprint 1,1-2,SEC-004,Seguridad,Hashear passphrase en cache keys,CRÍTICA,3,,,,Usar SHA-256 para cache key
Sprint 1,1-2,SEC-005,Seguridad,Aumentar iteraciones PBKDF2 a 600k,CRÍTICA,2,,,,Dev: 100k | Staging/Prod: 600k
Sprint 1,1-2,SEC-006,Seguridad,Validación passphrase en producción,CRÍTICA,2,,,,Método requirePersistentPassphrase()
Sprint 1,1-2,DOC-001,Documentación,Crear SECURITY.md,MEDIA,2,,,,Guías de seguridad y compliance
Sprint 1,1-2,DOC-002,Documentación,Actualizar .env.example,MEDIA,1,,,,Variables: VITE_ENCRYPT_PASSPHRASE, etc
Sprint 1,1-2,DOC-003,Documentación,Guía de migración breaking changes,MEDIA,3,,,,Script para migrar datos legacy
Sprint 1,1-2,SUBTOTAL,,,,,20,,,
Sprint 1,1-2,ENTREGABLES,,,,,,,,"✅ Helper seguro para producción | ✅ Docs de seguridad | ✅ Guía migración"

Sprint 2,3,SEC-007,Seguridad,Mejorar validación passphrase,ALTA,2,,,,Min 12 chars + complejidad
Sprint 2,3,SEC-011,Seguridad,Sanitización de logs producción,MEDIA,3,,,,secureLog() y sanitizeLogData()
Sprint 2,3,SEC-012,Seguridad,Detección passphrases comunes,MEDIA,1,,,,Lista de passphrases prohibidas
Sprint 2,3,PERF-001,Performance,Implementar LRU Cache,ALTA,4,,,,Límite 100 items
Sprint 2,3,PERF-002,Performance,Agregar TTL al cache,ALTA,2,,,,TTL 1 hora
Sprint 2,3,PERF-003,Performance,Limpieza periódica cache,ALTA,2,,,,setInterval cada 10 min
Sprint 2,3,PERF-004,Performance,Optimizar arrayBufferToBase64,MEDIA,3,,,,Chunks de 32KB
Sprint 2,3,PERF-005,Performance,Optimizar base64ToArrayBuffer,MEDIA,2,,,,Uint8Array.set()
Sprint 2,3,CODE-001,Código Limpio,Eliminar código comentado,BAJA,0.5,,,,Líneas 194-200
Sprint 2,3,CODE-002,Código Limpio,Eliminar comentarios TODO,BAJA,0.5,,,,Líneas 1108-1146
Sprint 2,3,CODE-003,Código Limpio,Extraer magic numbers,MEDIA,2,,,,const CRYPTO_SIZES
Sprint 2,3,SUBTOTAL,,,,,22,,,
Sprint 2,3,ENTREGABLES,,,,,,,,"✅ Cache optimizado LRU+TTL | ✅ Base64 optimizado | ✅ Código limpio"

Sprint 3,4-5,ARCH-001,Arquitectura,Crear KeyDerivationService,ALTA,4,,,,Clase SRP para derivación
Sprint 3,4-5,ARCH-002,Arquitectura,Crear PasswordHasher,ALTA,4,,,,Clase SRP para passwords
Sprint 3,4-5,ARCH-003,Arquitectura,Crear DataEncryptor,ALTA,4,,,,Clase SRP para encriptación
Sprint 3,4-5,ARCH-004,Arquitectura,Crear SecureTokenGenerator,ALTA,2,,,,Clase SRP para tokens
Sprint 3,4-5,ARCH-005,Arquitectura,Crear CryptoConfigManager,ALTA,3,,,,Clase SRP para config
Sprint 3,4-5,ARCH-006,Arquitectura,Strategy Pattern algoritmos,MEDIA,6,,,,EncryptionStrategy interface
Sprint 3,4-5,ARCH-007,Arquitectura,EncryptHelper como Facade,MEDIA,3,,,,Delegar a servicios especializados
Sprint 3,4-5,TEST-001,Testing,Tests password hashing,ALTA,6,,,,Salt único, verificación, constant-time
Sprint 3,4-5,TEST-002,Testing,Tests data encryption,ALTA,6,,,,Encrypt/decrypt, IV único, tampering
Sprint 3,4-5,TEST-003,Testing,Tests token generation,ALTA,3,,,,Unicidad, longitud, hex chars
Sprint 3,4-5,TEST-004,Testing,Tests performance/timing,ALTA,4,,,,Timing attacks, benchmarks
Sprint 3,4-5,TEST-005,Testing,Tests integración E2E,MEDIA,4,,,,Workflows completos
Sprint 3,4-5,SUBTOTAL,,,,,49,,,
Sprint 3,4-5,ENTREGABLES,,,,,,,,"✅ Arquitectura modular SRP | ✅ Strategy Pattern | ✅ Coverage >85%"

Sprint 4,6,SEC-008,Seguridad,Implementar reencryptData(),ALTA,6,,,,Rotación de claves
Sprint 4,6,SEC-009,Seguridad,Versionamiento esquemas,ALTA,3,,,,Campo version en EncryptionResult
Sprint 4,6,SEC-010,Seguridad,Batch rotateEncryptionKeys(),ALTA,4,,,,Rotar múltiples items con progress
Sprint 4,6,PERF-006,Performance,arrayBufferToBase64Async(),MEDIA,3,,,,FileReader API asíncrono
Sprint 4,6,PERF-007,Performance,Web Workers para PBKDF2,BAJA,8,,,Opcional,"Mejora UX, no bloqueante"
Sprint 4,6,DOC-004,Documentación,Documentar ejemplos uso,BAJA,2,,,,Ejemplos completos en README
Sprint 4,6,SUBTOTAL,,,,,26,,,
Sprint 4,6,ENTREGABLES,,,,,,,,"✅ Rotación de claves | ✅ Web Workers (opcional) | ✅ Docs completas"

TOTALES,,,,,,,130,,,
